heart_disease_mortality_per_100k,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician
257,0.556,0.039,0.26,0.143,0.503,0.272,0.101,0.41,0.07,0.493,0.008,0.015,0.164133739,0.234042553,0.342451874,0.259371834,19,7,0.288,0.19,0.09,0.082,0.181,0.265,10,2.3,19.79,2010,2480
195,0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.202,0.198,0.479,0.013,0.085,0.158572844,0.237859267,0.186323092,0.417244797,12,6,0.212,0.156,0.084,0.098,0.195,0.209,10,9.31,3.14,629,690
288,0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.022,0.046,0.903,0.002,0.006,0.137755102,0.294897959,0.280612245,0.286734694,11,8,0.283,0.22,0.112,0.089,0.067,0.272,13,3.8,13.74,2439,1540
315,0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.053,0.224,0.681,0.004,0.023,0.12286002,0.315206445,0.364551863,0.197381672,12,10,0.317,0.264,0.131,0.092,0.13,0.277,13,5.6,22.27,2800,1790
426,0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.015,0.719,0.257,0.008,0.005,0.292134831,0.278855975,0.287027579,0.141981614,12,10,0.417,0.208,0.127,0.139,0.106,0.373,12,13.6,22.78,3990,3549
213,0.489,0.054,0.26,0.096,0.502,0.229,0.137,0.443,0.015,0.455,0.029,0.058,0.20221328,0.179074447,0.292756539,0.325955734,13,7,0.195,0.11,0.067,0.053,0.174,0.142,7,1.6,8.78,1330,1289
337,0.446,0.049,0.318,0.147,0.497,0.233,0.192,0.101,0.029,0.855,0.007,0,0.182358771,0.35877106,0.308225966,0.150644202,11,11,0.312,0.206,0.117,0.078,0.101,0.327,10,4.76,35.65,3790,7530
276,0.459,0.07,0.215,0.054,0.536,0.241,0.128,0.036,0.55,0.375,0.009,0.019,0.143856144,0.260739261,0.284715285,0.310689311,14,9,0.362,0.185,0.137,0.117,0.144,0.287,13,13.06,14.94,1680,1119
269,0.464,0.053,0.145,0.043,0.516,0.228,0.169,0.082,0.188,0.703,0.003,0.009,0.126252505,0.341683367,0.336673347,0.195390782,11,11,0.38,0.192,0.114,0.104,0.208,0.266,12,10.4,11.42,1570,1170
313,0.454,0.056,0.219,0.056,0.51,0.267,0.114,0.028,0.062,0.882,0.008,0.014,0.125373134,0.340298507,0.342288557,0.192039801,14,8,0.302,0.206,0.107,0.082,0.158,0.291,12,4.24,24.24,3910,5770
250,0.432,0.043,0.259,0.154,0.499,0.203,0.24,0.113,0,0.847,0.015,0.003,0.104790419,0.294411178,0.349301397,0.251497006,12,14,0.268,0.223,0.112,0.073,0.184,0.246,10,3,21.12,2400,1919
255,0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.158,0.111,0.665,0.001,0.05,0.083503055,0.270875764,0.302443992,0.343177189,11,6,0.322,0.182,0.106,0.086,0.233,0.235,13,2.59,8.31,2079,1990
185,0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027,0.005,0.12202381,0.266865079,0.331349206,0.279761905,9,10,0.23,0.219,0.081,0.098,0.181,0.222,9,8.38,17.85,2910,1569
249,0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011,0.156345178,0.296446701,0.377664975,0.169543147,12,15,0.273,0.25,0.118,0.085,0.145,0.256,10,8.8,25.83,1759,1709
296,0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.097,0.347,0.547,0.009,0,0.255744256,0.376623377,0.265734266,0.101898102,11,11,0.373,0.211,0.138,0.098,0.111,0.332,12,8.84,31.48,8850,7329
316,0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.049,0.246,0.658,0.006,0.037,0.112449799,0.320281124,0.28313253,0.284136546,12,9,0.339,0.188,0.11,0.092,0.139,0.276,12,6.8,14.17,1289,1300
319,0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.027,0.023,0.887,0.011,0.03,0.132734531,0.337325349,0.263473054,0.266467066,11,10,0.329,0.258,0.099,0.075,0.153,0.254,10,3.22,20.12,2659,999
253,0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0,0.96,0,0.005,0.093,0.343,0.274,0.29,9,11,0.288,0.182,0.097,0.058,0.167,0.212,11,1.7,11.3,1400,1259
281,0.396,0.079,0.141,0.065,0.494,0.203,0.148,0.031,0.02,0.912,0.018,0.021,0.110772358,0.362804878,0.298780488,0.227642276,10,9,0.294,0.26,0.112,0.072,0.224,0.254,11,1,11.5,2660,1829
214,0.474,0.054,0.188,0.078,0.505,0.265,0.112,0.051,0.146,0.734,0,0.053,0.079079079,0.241241241,0.326326326,0.353353353,13,6,0.264,0.161,0.097,0.089,0.156,0.232,13,1.01,11.16,1830,839
375,0.451,0.055,0.234,0.049,0.512,0.25,0.145,0.024,0.006,0.943,0.003,0.01,0.15862069,0.431527094,0.257142857,0.15270936,13,10,0.346,0.177,0.136,0.07,0.106,0.343,13,5.8,24.63,3590,1869
212,0.558,0.05,0.077,0.032,0.507,0.226,0.148,0.024,0.011,0.949,0.001,0.006,0.062753036,0.305668016,0.339068826,0.292510121,11,8,0.272,0.136,0.093,0.057,0.285,0.224,12,0.67,10.1,2049,1650
340,0.498,0.065,0.222,0.059,0.516,0.223,0.141,0.057,0.275,0.614,0.004,0.023,0.165829146,0.293467337,0.305527638,0.235175879,14,12,0.354,0.263,0.112,0.108,0.132,0.246,13,10.35,9.9,1840,1379
330,0.408,0.049,0.243,0.043,0.51,0.224,0.196,0.03,0.097,0.849,0.007,0,0.205588822,0.373253493,0.289421158,0.131736527,12,13,0.348,0.327,0.136,0.094,0.131,0.319,13,8.1,25.82,13360,4480
279,0.467,0.051,0.248,0.09,0.511,0.223,0.13,0.049,0.402,0.506,0.004,0.021,0.109768379,0.253776435,0.30715005,0.329305136,14,9,0.28,0.187,0.103,0.096,0.162,0.239,13,10.9,12.5,1600,1199
227,0.521,0.057,0.221,0.091,0.501,0.23,0.163,0.328,0.019,0.553,0.013,0.075,0.168032787,0.18852459,0.318647541,0.324795082,11,8,0.23,0.089,0.067,0.058,0.237,0.138,8,0.93,10.82,1349,1160
305,0.492,0.06,0.179,0.043,0.512,0.225,0.159,0.02,0.102,0.821,0.002,0.033,0.105210421,0.305611222,0.358717435,0.230460922,11,10,0.316,0.182,0.105,0.077,0.198,0.226,13,2.7,7.78,1269,1689
224,0.514,0.038,0.153,0.059,0.502,0.236,0.136,0.074,0.08,0.806,0.008,0.013,0.091816367,0.286427146,0.295409182,0.326347305,11,8,0.252,0.174,0.102,0.057,0.16,0.197,13,3.7,16.36,1860,1840
267,0.509,0.067,0.137,0.046,0.514,0.208,0.187,0.013,0.054,0.904,0,0.005,0.078,0.396,0.299,0.227,10,12,0.304,0.187,0.123,0.076,0.143,0.29,14,3.22,12.16,2089,2430
228,0.509,0.045,0.142,0.045,0.512,0.218,0.16,0.012,0.043,0.912,0.005,0.005,0.118762475,0.366267465,0.31237525,0.20259481,12,10,0.309,0.174,0.109,0.063,0.169,0.237,10,0.9,10,1950,1369
210,0.511,0.05,0.156,0.038,0.514,0.203,0.155,0.163,0.05,0.611,0,0.147,0.08249497,0.241448692,0.206237425,0.469818913,10,7,0.211,0.146,0.068,0.079,0.166,0.239,11,1.28,5.25,829,809
224,0.34,0.083,0.31,0.079,0.495,0.252,0.144,0.375,0.009,0.213,0.412,0.007,0.186440678,0.365902293,0.326021934,0.121635095,12,10,0.327,0.188,0.139,0.103,0.127,0.256,10,10,25.72,2270,1699
285,0.497,0.039,0.201,0.081,0.498,0.264,0.123,0.073,0.006,0.854,0.034,0.019,0.078411405,0.264765784,0.386965377,0.269857434,15,8,0.293,0.163,0.111,0.069,0.132,0.199,10,1.2,11.21,1120,1440
307,0.41,0.06,0.229,0.068,0.509,0.228,0.177,0.026,0.011,0.951,0.011,0.007,0.189431705,0.411764706,0.25224327,0.146560319,11,12,0.306,0.266,0.138,0.083,0.066,0.327,13,2.9,20.26,1480,1220
202,0.471,0.072,0.162,0.068,0.503,0.219,0.172,0.121,0.001,0.797,0.014,0.029,0.08190091,0.217391304,0.373104146,0.32760364,9,8,0.204,0.147,0.081,0.046,0.216,0.151,9,1.58,11,1330,1439
259,0.5,0.059,0.126,0.036,0.505,0.235,0.132,0.031,0,0.956,0,0.008,0.052525253,0.254545455,0.353535354,0.339393939,9,7,0.257,0.17,0.088,0.059,0.224,0.185,12,0.19,9.99,1749,2160
242,0.523,0.044,0.121,0.03,0.499,0.216,0.133,0.082,0.234,0.612,0,0.048,0.096192385,0.280561122,0.263527054,0.359719439,12,8,0.259,0.152,0.084,0.095,0.215,0.214,12,6.7,8.59,1800,1249
303,0.395,0.088,0.288,0.082,0.45,0.209,0.131,0.066,0.567,0.358,0.006,0.002,0.363089268,0.31995988,0.231695085,0.085255767,11,10,0.394,0.185,0.131,0.162,0.082,0.335,12,11.15,42,5840,5099
