JerseyNumber,FirstName,LastName,Age,Position,Weight,HtFt,HtIn,YrsInPros,College
6,Brad,Anderson,24,WR,198,6,2,1,Arizona
60,Tom,Andrews,23,T,265,6,4,1,Louisville
79,Kurt,Becker,27,G,271,6,5,3,Michigan
62,Mark,Bortz,24,G,282,6,6,2,Iowa
8,Maury,Buford,25,P,191,6,1,3,Texas Tech
6,Kevin,Butler,23,K,215,6,1,0,Georgia
54,Brian,Cabral,29,LB,233,6,1,6,Colorado
74,Jimbo,Covert,25,T,277,6,4,2,Pittsburgh
95,Richard,Dent,25,DE,265,6,5,2,Tennessee State
22,Dave,Duerson,25,DB,207,6,1,2,Notre Dame
45,Gary,Fencik,31,DB,194,6,1,9,Yale
21,Leslie,Frazier,26,DB,189,6,1,4,Alcorn State
71,Andy,Frederick,31,T,257,6,6,8,New Mexico
4,Steve,Fuller,28,QB,198,6,4,6,Clemson
83,Willie,Gault,25,WR,181,6,1,2,Tennessee
23,Shaun,Gayle,23,DB,202,5,11,1,Ohio State
29,Dennis,Gentry,26,RB,181,5,8,3,Baylor
99,Dan,Hampton,28,DE,264,6,5,6,Arkansas
73,Mike,Hartenstine,32,DE,251,6,3,10,Penn State
63,Jay,Hilgenberg,26,C,259,6,3,4,Iowa
75,Stefan,Humphries,23,G,265,6,3,1,Michigan
98,Tyrone,Keys,26,LB,272,6,7,2,Mississippi State
81,James,Maness,22,WR,174,6,1,0,TCU
82,Ken,Margerum,27,WR,175,6,1,4,Stanford
58,Wilber,Marshall,23,LB,231,6,1,1,Florida
85,Dennis,McKinnon,24,WR,185,6,1,2,Florida State
9,Jim,McMahon,26,QB,195,6,1,3,BYU
76,Steve,McMichael,28,DT,270,6,2,5,Texas
87,Emery,Moorehead,31,TE,218,6,2,8,Colorado
51,Jim,Morrissey,23,LB,223,6,3,0,Michigan State
89,Keith,Ortego,22,WR,180,6,1,0,McNeese State
34,Walter,Payton,31,RB,200,5,10,10,Jackson State
72,William,Perry,23,DT,325,6,2,0,Clemson
48,Reggie,Phillips,25,DB,170,5,10,0,SMU
27,Mike,Richardson,24,DB,187,6,1,2,Arizona State
59,Ron,Rivera,23,LB,239,6,3,1,California
20,Thomas,Sanders,23,RB,203,5,11,0,Texas A&M
50,Mike,Singletary,27,LB,230,6,1,4,Baylor
26,Matt,Suhey,27,RB,217,5,11,5,Penn State
31,Ken,Taylor,22,DB,185,6,1,0,Oregon State
57,Tom,Thayer,24,G,271,6,4,0,Notre Dame
33,Calvin,Thomas,25,RB,239,5,11,3,Illinois
52,Cliff,Thrift,29,LB,232,6,1,6,East Central OK
18,Mike,Tomczak,23,QB,202,6,1,0,Ohio State
78,Keith,Van Horne,28,T,281,6,6,4,USC
70,Henry,Waechter,26,DT,270,6,5,3,Nebraska
55,Otis,Wilson,28,LB,227,6,2,5,Louisville
80,Tim,Wrightman,25,TE,237,6,3,0,UCLA
